  Step          Temp            Mu         Sigma        Energy
   388     0.0510146      0.939242      0.629947      -0.36756
   389     0.0510146      0.939242      0.629947      -0.36756
   390     0.0510146      0.939242      0.629947      -0.36756
   391     0.0510146       0.86994      0.695956     -0.380282
   392     0.0510146      0.863258      0.706131     -0.339869
   393     0.0510146      0.754268      0.770929     -0.326699
   394     0.0510146      0.827791      0.692454     -0.375113
   395     0.0510146      0.803042      0.715619     -0.393972
   396     0.0510146      0.836581      0.640389     -0.427647
   397     0.0510146      0.748854      0.601007     -0.438828
   398     0.0510146      0.748854      0.601007     -0.438828
   399     0.0510146      0.748854      0.601007     -0.438828
   400     0.0469334      0.748854      0.601007     -0.438828
   401     0.0469334      0.785663      0.594293     -0.445742
   402     0.0469334      0.724917      0.615988     -0.429931
   403     0.0469334      0.724917      0.615988     -0.429931
   404     0.0469334      0.694754      0.614913     -0.399094
   405     0.0469334      0.579672      0.678576      -0.31899
   406     0.0469334      0.579672      0.678576      -0.31899
   407     0.0469334      0.594639      0.648605     -0.314163
   408     0.0469334      0.594639      0.648605     -0.314163
   409     0.0469334      0.594639      0.648605     -0.314163
   410     0.0469334      0.583472      0.573951     -0.287862
   411     0.0469334      0.570129      0.651617     -0.309141
   412     0.0469334      0.570129      0.651617     -0.309141
   413     0.0469334      0.649631      0.652897      -0.35625
   414     0.0469334      0.649631      0.652897      -0.35625
   415     0.0469334      0.649631      0.652897      -0.35625
   416     0.0469334      0.649631      0.652897      -0.35625
   417     0.0469334      0.689785      0.597228     -0.387889
   418     0.0469334      0.749873      0.581018     -0.425486
   419     0.0469334      0.749873      0.581018     -0.425486
   420     0.0431787      0.749873      0.581018     -0.425486
   421     0.0431787        0.6713      0.650459     -0.395637
   422     0.0431787      0.740662      0.652925     -0.415357
   423     0.0431787      0.753964      0.643802     -0.443199
   424     0.0431787      0.753964      0.643802     -0.443199
   425     0.0431787      0.753964      0.643802     -0.443199
   426     0.0431787      0.753964      0.643802     -0.443199
   427     0.0431787      0.825377      0.596769     -0.435253
   428     0.0431787      0.890706      0.643006       -0.4441
   429     0.0431787      0.890706      0.643006       -0.4441
   430     0.0431787      0.856463      0.596836     -0.418909
   431     0.0431787      0.856463      0.596836     -0.418909
   432     0.0431787       0.78541      0.562102     -0.427293
   433     0.0431787       0.78541      0.562102     -0.427293
   434     0.0431787       0.78541      0.562102     -0.427293
   435     0.0431787       0.78541      0.562102     -0.427293
   436     0.0431787      0.881355      0.599218     -0.424365
   437     0.0431787      0.897537      0.632861     -0.402631
   438     0.0431787      0.897537      0.632861     -0.402631
   439     0.0431787      0.890367      0.590309     -0.419735
   440     0.0397244      0.890367      0.590309     -0.419735
   441     0.0397244      0.890367      0.590309     -0.419735
   442     0.0397244      0.753088      0.626746     -0.442088
   443     0.0397244      0.753088      0.626746     -0.442088
   444     0.0397244      0.753088      0.626746     -0.442088
   445     0.0397244      0.834208      0.606424     -0.438415
   446     0.0397244      0.834208      0.606424     -0.438415
   447     0.0397244      0.834208      0.606424     -0.438415
